count_floors_pre_eq,age,height,land_surface_condition,foundation_type,has_superstructure_adobe_mud,has_superstructure_mud_mortar_stone,has_superstructure_stone_flag,has_superstructure_cement_mortar_stone,has_superstructure_mud_mortar_brick,has_superstructure_cement_mortar_brick,has_superstructure_timber,has_superstructure_bamboo,has_superstructure_rc_non_engineered,has_superstructure_rc_engineered,has_superstructure_other
2,25,4,2,0,0,1,0,0,0,0,0,0,0,0,0
3,15,5,2,0,0,1,0,0,0,0,0,0,0,0,0
1,20,2,2,0,0,1,0,0,1,0,0,0,0,0,0
2,5,3,2,0,0,1,0,0,0,0,0,0,0,0,0
3,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0
1,10,1,2,0,0,1,0,0,0,0,1,0,0,0,0
2,5,4,2,0,0,1,0,0,0,0,0,0,0,0,0
2,5,4,1,2,0,1,0,0,0,0,0,0,0,0,0
2,10,3,2,0,0,1,0,0,0,0,0,0,0,0,0
3,40,5,2,0,0,1,0,0,0,0,0,0,0,0,0
2,20,5,2,0,1,1,1,0,0,0,1,1,0,0,0
2,10,4,2,0,0,1,0,0,0,0,0,0,0,0,0
3,50,6,2,0,0,1,0,0,0,0,0,0,0,0,0
2,15,7,2,0,0,1,0,0,0,0,0,0,0,0,0
3,10,8,2,0,0,1,0,0,0,0,1,0,0,0,0
3,80,6,2,0,0,1,0,0,0,0,0,0,0,0,0
2,15,4,0,3,0,0,0,0,0,0,1,0,0,0,0
2,15,4,2,0,0,1,0,0,0,0,0,0,0,0,0
2,30,4,2,0,0,1,0,0,0,0,0,0,0,0,0
3,35,6,0,0,0,1,0,0,0,0,0,0,0,0,0
1,25,1,2,0,0,1,0,0,0,0,0,0,0,0,0
2,5,4,1,0,1,1,0,0,1,0,1,0,0,0,0
2,30,5,1,0,0,1,0,0,0,0,0,0,0,0,0
2,10,5,1,0,0,1,0,0,0,0,1,0,0,0,0
3,20,7,2,0,0,1,0,0,0,0,0,0,0,0,0
3,40,9,1,0,0,1,0,0,0,0,0,0,0,0,0
2,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0
2,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0
2,5,3,2,0,0,1,0,0,0,0,1,1,0,0,0
2,35,3,2,0,0,1,0,0,0,0,0,0,0,0,0
3,35,5,2,0,0,1,0,0,0,0,0,0,0,0,0
3,5,9,2,2,0,0,0,0,0,1,0,0,0,0,0
3,5,6,2,0,0,1,0,0,0,0,0,0,0,0,0
1,0,3,2,2,0,0,0,0,0,1,1,0,0,0,0
3,20,5,2,0,0,1,0,0,0,0,0,0,0,0,0
2,45,5,2,0,0,1,0,0,0,0,0,0,0,0,0
1,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2,15,6,0,0,1,1,0,0,0,0,1,0,0,0,0
3,20,6,2,0,0,1,0,0,0,0,1,0,0,0,0
2,10,5,1,0,0,1,0,0,0,0,1,0,0,0,0
2,20,5,2,0,0,1,0,0,0,0,0,0,0,0,0
3,10,5,2,0,1,0,0,0,1,0,0,0,0,0,0
2,15,5,2,0,0,1,0,0,0,0,0,0,0,0,0
2,50,4,2,0,0,1,0,0,0,0,0,0,0,0,0
2,30,5,1,0,0,1,0,0,0,0,1,0,0,0,0
3,90,6,2,0,1,0,0,0,1,0,0,0,0,0,0
2,30,4,2,0,1,1,0,0,0,0,1,1,0,0,0
2,20,5,1,0,1,1,0,0,0,0,0,0,0,0,0
4,5,11,2,1,0,0,0,0,0,0,0,0,0,1,0
2,15,4,2,0,0,1,0,0,0,0,0,0,0,0,0
4,25,10,2,0,1,0,0,0,1,0,0,0,0,0,0
3,50,7,2,0,0,1,0,0,0,0,0,0,0,0,0
1,10,3,2,2,0,0,0,0,0,1,0,0,0,0,0
2,15,5,2,0,0,1,0,0,0,0,0,0,0,0,0
2,15,5,0,0,0,1,0,1,0,1,0,0,0,0,0
2,10,3,2,0,0,1,0,0,0,0,1,0,0,0,0
2,60,9,2,0,0,1,0,0,0,0,0,0,0,0,0
2,20,5,2,0,0,1,0,0,0,0,1,0,0,0,0
4,40,7,2,0,0,0,0,0,1,0,0,0,0,0,0
3,25,5,1,0,0,1,0,0,0,0,0,0,0,0,0
1,0,3,1,3,0,1,0,0,0,0,1,1,0,0,0
2,5,3,2,0,0,1,1,0,0,0,1,0,0,0,0
2,30,5,2,0,1,1,0,0,1,0,1,1,0,0,1
2,10,6,2,0,0,1,0,0,0,0,0,0,0,0,0
2,15,3,2,0,0,1,0,0,0,0,0,0,0,0,0
1,0,3,2,2,0,0,0,0,0,1,0,0,1,0,0
2,0,5,2,1,0,0,0,0,0,1,0,0,0,1,0
2,5,6,2,3,0,1,0,0,0,0,1,1,0,0,0
2,25,4,2,0,1,1,1,0,0,0,1,1,0,0,1
2,25,3,1,0,0,1,0,0,0,0,0,0,0,0,0
3,100,7,2,0,0,1,0,0,0,0,1,0,0,0,0
2,15,4,2,0,0,1,0,0,0,0,1,0,0,0,0
2,20,3,2,0,0,1,0,0,0,0,1,1,0,0,0
